participant.id_in_session;participant.code;participant.label;participant._is_bot;participant._index_in_pages;participant._max_page_index;participant._current_app_name;participant._current_page_name;participant.time_started;participant.visited;participant.mturk_worker_id;participant.mturk_assignment_id;participant.payoff;player.id_in_group;player.role;player.t;player.vote;player.bid;player.ask;player.lama;player.payoff;group.id_in_subsession;group.price;group.q;group.policy;subsession.round_number;session.code;session.label;session.mturk_HITId;session.mturk_HITGroupId;session.comment;session.is_demo
9;3oysdhhy;;0;434;900;voting;News;2022-08-17 22:28:04.182921+00:00;1;;;100;9;;-1;0;63.00;63.00;0.73;65;1;65.00;6;0;3;mh2a1e2u;;;;;0
10;8icqtqov;;0;434;900;voting;News;2022-08-17 22:28:09.625171+00:00;1;;;100;10;;1;0;100.00;100.00;0.82;135;1;65.00;6;0;3;mh2a1e2u;;;;;0
11;fhbpl0ce;;0;434;900;voting;News;2022-08-17 22:28:15.278556+00:00;1;;;100;11;;1;1;70.00;70.00;0.91;135;1;65.00;6;0;3;mh2a1e2u;;;;;0
1;r59q3wnw;;0;434;900;voting;News;2022-08-17 22:27:00.871988+00:00;1;;;100;1;;1;1;80.00;80.00;0.00;130;1;70.00;6;0;4;mh2a1e2u;;;;;0
2;r3guj6fb;;0;434;900;voting;News;2022-08-17 22:27:12.461939+00:00;1;;;100;2;;0;0;70.00;70.00;0.09;100;1;70.00;6;0;4;mh2a1e2u;;;;;0
3;ko6cdw8l;;0;434;900;voting;News;2022-08-17 22:27:17.196166+00:00;1;;;100;3;;-1;0;65.00;65.00;0.18;70;1;70.00;6;0;4;mh2a1e2u;;;;;0
4;wptljjuw;;0;434;900;voting;News;2022-08-17 22:27:22.276545+00:00;1;;;100;4;;-1;0;70.00;70.00;0.27;70;1;70.00;6;0;4;mh2a1e2u;;;;;0
5;r9jo3sxy;;0;434;900;voting;News;2022-08-17 22:27:31.715859+00:00;1;;;100;5;;-1;0;70.00;70.00;0.36;70;1;70.00;6;0;4;mh2a1e2u;;;;;0
6;ik37tf3h;;0;434;900;voting;News;2022-08-17 22:27:39.578207+00:00;1;;;100;6;;1;0;75.00;75.00;0.45;130;1;70.00;6;0;4;mh2a1e2u;;;;;0
7;me75rpgj;;0;434;900;voting;News;2022-08-17 22:27:48.339048+00:00;1;;;100;7;;1;0;80.00;80.00;0.55;130;1;70.00;6;0;4;mh2a1e2u;;;;;0
8;sz0x8uel;;0;434;900;voting;News;2022-08-17 22:27:55.256529+00:00;1;;;100;8;;1;0;100.00;100.00;0.64;130;1;70.00;6;0;4;mh2a1e2u;;;;;0
9;3oysdhhy;;0;434;900;voting;News;2022-08-17 22:28:04.182921+00:00;1;;;100;9;;-1;0;70.00;70.00;0.73;70;1;70.00;6;0;4;mh2a1e2u;;;;;0
10;8icqtqov;;0;434;900;voting;News;2022-08-17 22:28:09.625171+00:00;1;;;100;10;;1;0;100.00;100.00;0.82;130;1;70.00;6;0;4;mh2a1e2u;;;;;0
11;fhbpl0ce;;0;434;900;voting;News;2022-08-17 22:28:15.278556+00:00;1;;;100;11;;-1;0;60.00;60.00;0.91;70;1;70.00;6;0;4;mh2a1e2u;;;;;0
1;r59q3wnw;;0;434;900;voting;News;2022-08-17 22:27:00.871988+00:00;1;;;100;1;;1;0;90.00;90.00;0.00;40;1;80.00;7;1;5;mh2a1e2u;;;;;0
2;r3guj6fb;;0;434;900;voting;News;2022-08-17 22:27:12.461939+00:00;1;;;100;2;;-1;0;75.00;75.00;0.09;89;1;80.00;7;1;5;mh2a1e2u;;;;;0
3;ko6cdw8l;;0;434;900;voting;News;2022-08-17 22:27:17.196166+00:00;1;;;100;3;;1;0;80.00;80.00;0.18;58;1;80.00;7;1;5;mh2a1e2u;;;;;0
4;wptljjuw;;0;434;900;voting;News;2022-08-17 22:27:22.276545+00:00;1;;;100;4;;-1;0;69.00;69.00;0.27;107;1;80.00;7;1;5;mh2a1e2u;;;;;0
5;r9jo3sxy;;0;434;900;voting;News;2022-08-17 22:27:31.715859+00:00;1;;;100;5;;0;1;80.00;80.00;0.36;96;1;80.00;7;1;5;mh2a1e2u;;;;;0
6;ik37tf3h;;0;434;900;voting;News;2022-08-17 22:27:39.578207+00:00;1;;;100;6;;-1;0;75.00;75.00;0.45;125;1;80.00;7;1;5;mh2a1e2u;;;;;0
7;me75rpgj;;0;434;900;voting;News;2022-08-17 22:27:48.339048+00:00;1;;;100;7;;0;1;80.00;80.00;0.55;115;1;80.00;7;1;5;mh2a1e2u;;;;;0
8;sz0x8uel;;0;434;900;voting;News;2022-08-17 22:27:55.256529+00:00;1;;;100;8;;1;1;120.00;120.00;0.64;104;1;80.00;7;1;5;mh2a1e2u;;;;;0
9;3oysdhhy;;0;434;900;voting;News;2022-08-17 22:28:04.182921+00:00;1;;;100;9;;1;1;100.00;100.00;0.73;113;1;80.00;7;1;5;mh2a1e2u;;;;;0
10;8icqtqov;;0;434;900;voting;News;2022-08-17 22:28:09.625171+00:00;1;;;100;10;;-1;0;40.00;40.00;0.82;162;1;80.00;7;1;5;mh2a1e2u;;;;;0
11;fhbpl0ce;;0;434;900;voting;News;2022-08-17 22:28:15.278556+00:00;1;;;100;11;;0;0;80.00;80.00;0.91;151;1;80.00;7;1;5;mh2a1e2u;;;;;0
1;r59q3wnw;;0;434;900;voting;News;2022-08-17 22:27:00.871988+00:00;1;;;100;1;;1;1;200.00;200.00;0.00;118;1;82.00;6;0;6;mh2a1e2u;;;;;0
2;r3guj6fb;;0;434;900;voting;News;2022-08-17 22:27:12.461939+00:00;1;;;100;2;;1;0;85.00;85.00;0.09;118;1;82.00;6;0;6;mh2a1e2u;;;;;0
3;ko6cdw8l;;0;434;900;voting;News;2022-08-17 22:27:17.196166+00:00;1;;;100;3;;-1;0;75.00;75.00;0.18;82;1;82.00;6;0;6;mh2a1e2u;;;;;0
4;wptljjuw;;0;434;900;voting;News;2022-08-17 22:27:22.276545+00:00;1;;;100;4;;-1;0;75.00;75.00;0.27;82;1;82.00;6;0;6;mh2a1e2u;;;;;0
5;r9jo3sxy;;0;434;900;voting;News;2022-08-17 22:27:31.715859+00:00;1;;;100;5;;1;0;85.00;85.00;0.36;118;1;82.00;6;0;6;mh2a1e2u;;;;;0
6;ik37tf3h;;0;434;900;voting;News;2022-08-17 22:27:39.578207+00:00;1;;;100;6;;-1;0;80.00;80.00;0.45;82;1;82.00;6;0;6;mh2a1e2u;;;;;0
7;me75rpgj;;0;434;900;voting;News;2022-08-17 22:27:48.339048+00:00;1;;;100;7;;-1;0;80.00;80.00;0.55;82;1;82.00;6;0;6;mh2a1e2u;;;;;0
8;sz0x8uel;;0;434;900;voting;News;2022-08-17 22:27:55.256529+00:00;1;;;100;8;;1;0;100.00;100.00;0.64;118;1;82.00;6;0;6;mh2a1e2u;;;;;0
9;3oysdhhy;;0;434;900;voting;News;2022-08-17 22:28:04.182921+00:00;1;;;100;9;;1;1;90.00;90.00;0.73;118;1;82.00;6;0;6;mh2a1e2u;;;;;0
10;8icqtqov;;0;434;900;voting;News;2022-08-17 22:28:09.625171+00:00;1;;;100;10;;-1;0;40.00;40.00;0.82;82;1;82.00;6;0;6;mh2a1e2u;;;;;0
11;fhbpl0ce;;0;434;900;voting;News;2022-08-17 22:28:15.278556+00:00;1;;;100;11;;0;1;82.00;82.00;0.91;100;1;82.00;6;0;6;mh2a1e2u;;;;;0
1;r59q3wnw;;0;434;900;voting;News;2022-08-17 22:27:00.871988+00:00;1;;;100;1;;1;1;90.00;90.00;0.00;110;1;50.00;6;1;7;mh2a1e2u;;;;;0
2;r3guj6fb;;0;434;900;voting;News;2022-08-17 22:27:12.461939+00:00;1;;;100;2;;-1;0;45.00;45.00;0.09;59;1;50.00;6;1;7;mh2a1e2u;;;;;0
3;ko6cdw8l;;0;434;900;voting;News;2022-08-17 22:27:17.196166+00:00;1;;;100;3;;-1;0;40.00;40.00;0.18;68;1;50.00;6;1;7;mh2a1e2u;;;;;0
4;wptljjuw;;0;434;900;voting;News;2022-08-17 22:27:22.276545+00:00;1;;;100;4;;1;0;69.00;69.00;0.27;137;1;50.00;6;1;7;mh2a1e2u;;;;;0
5;r9jo3sxy;;0;434;900;voting;News;2022-08-17 22:27:31.715859+00:00;1;;;100;5;;-1;0;25.00;25.00;0.36;86;1;50.00;6;1;7;mh2a1e2u;;;;;0
6;ik37tf3h;;0;434;900;voting;News;2022-08-17 22:27:39.578207+00:00;1;;;100;6;;1;1;90.00;90.00;0.45;155;1;50.00;6;1;7;mh2a1e2u;;;;;0
7;me75rpgj;;0;434;900;voting;News;2022-08-17 22:27:48.339048+00:00;1;;;100;7;;1;1;93.00;93.00;0.55;165;1;50.00;6;1;7;mh2a1e2u;;;;;0
8;sz0x8uel;;0;434;900;voting;News;2022-08-17 22:27:55.256529+00:00;1;;;100;8;;-1;0;40.00;40.00;0.64;114;1;50.00;6;1;7;mh2a1e2u;;;;;0
9;3oysdhhy;;0;434;900;voting;News;2022-08-17 22:28:04.182921+00:00;1;;;100;9;;-1;0;35.00;35.00;0.73;123;1;50.00;6;1;7;mh2a1e2u;;;;;0
10;8icqtqov;;0;434;900;voting;News;2022-08-17 22:28:09.625171+00:00;1;;;100;10;;0;1;50.00;50.00;0.82;162;1;50.00;6;1;7;mh2a1e2u;;;;;0
11;fhbpl0ce;;0;434;900;voting;News;2022-08-17 22:28:15.278556+00:00;1;;;100;11;;1;1;60.00;60.00;0.91;201;1;50.00;6;1;7;mh2a1e2u;;;;;0
1;r59q3wnw;;0;434;900;voting;News;2022-08-17 22:27:00.871988+00:00;1;;;100;1;;0;1;70.00;70.00;0.00;80;1;70.00;6;1;8;mh2a1e2u;;;;;0
2;r3guj6fb;;0;434;900;voting;News;2022-08-17 22:27:12.461939+00:00;1;;;100;2;;-1;0;60.00;60.00;0.09;79;1;70.00;6;1;8;mh2a1e2u;;;;;0
3;ko6cdw8l;;0;434;900;voting;News;2022-08-17 22:27:17.196166+00:00;1;;;100;3;;-1;0;60.00;60.00;0.18;88;1;70.00;6;1;8;mh2a1e2u;;;;;0
4;wptljjuw;;0;434;900;voting;News;2022-08-17 22:27:22.276545+00:00;1;;;100;4;;1;0;75.00;75.00;0.27;117;1;70.00;6;1;8;mh2a1e2u;;;;;0
5;r9jo3sxy;;0;434;900;voting;News;2022-08-17 22:27:31.715859+00:00;1;;;100;5;;-1;0;35.00;35.00;0.36;106;1;70.00;6;1;8;mh2a1e2u;;;;;0
6;ik37tf3h;;0;434;900;voting;News;2022-08-17 22:27:39.578207+00:00;1;;;100;6;;1;1;80.00;80.00;0.45;135;1;70.00;6;1;8;mh2a1e2u;;;;;0
7;me75rpgj;;0;434;900;voting;News;2022-08-17 22:27:48.339048+00:00;1;;;100;7;;1;1;80.00;80.00;0.55;145;1;70.00;6;1;8;mh2a1e2u;;;;;0
8;sz0x8uel;;0;434;900;voting;News;2022-08-17 22:27:55.256529+00:00;1;;;100;8;;1;1;100.00;100.00;0.64;154;1;70.00;6;1;8;mh2a1e2u;;;;;0
9;3oysdhhy;;0;434;900;voting;News;2022-08-17 22:28:04.182921+00:00;1;;;100;9;;-1;0;26.00;26.00;0.73;143;1;70.00;6;1;8;mh2a1e2u;;;;;0
10;8icqtqov;;0;434;900;voting;News;2022-08-17 22:28:09.625171+00:00;1;;;100;10;;-1;0;50.00;50.00;0.82;152;1;70.00;6;1;8;mh2a1e2u;;;;;0
11;fhbpl0ce;;0;434;900;voting;News;2022-08-17 22:28:15.278556+00:00;1;;;100;11;;1;1;70.00;70.00;0.91;181;1;70.00;6;1;8;mh2a1e2u;;;;;0
1;r59q3wnw;;0;434;900;voting;News;2022-08-17 22:27:00.871988+00:00;1;;;100;1;;1;1;200.00;200.00;0.00;75;1;85.00;6;1;9;mh2a1e2u;;;;;0
2;r3guj6fb;;0;434;900;voting;News;2022-08-17 22:27:12.461939+00:00;1;;;100;2;;1;0;100.00;100.00;0.09;84;1;85.00;6;1;9;mh2a1e2u;;;;;0
3;ko6cdw8l;;0;434;900;voting;News;2022-08-17 22:27:17.196166+00:00;1;;;100;3;;-1;0;70.00;70.00;0.18;103;1;85.00;6;1;9;mh2a1e2u;;;;;0
4;wptljjuw;;0;434;900;voting;News;2022-08-17 22:27:22.276545+00:00;1;;;100;4;;0;1;85.00;85.00;0.27;107;1;85.00;6;1;9;mh2a1e2u;;;;;0
5;r9jo3sxy;;0;434;900;voting;News;2022-08-17 22:27:31.715859+00:00;1;;;100;5;;1;0;86.00;86.00;0.36;111;1;85.00;6;1;9;mh2a1e2u;;;;;0
6;ik37tf3h;;0;434;900;voting;News;2022-08-17 22:27:39.578207+00:00;1;;;100;6;;-1;0;80.00;80.00;0.45;130;1;85.00;6;1;9;mh2a1e2u;;;;;0
7;me75rpgj;;0;434;900;voting;News;2022-08-17 22:27:48.339048+00:00;1;;;100;7;;1;1;90.00;90.00;0.55;130;1;85.00;6;1;9;mh2a1e2u;;;;;0
8;sz0x8uel;;0;434;900;voting;News;2022-08-17 22:27:55.256529+00:00;1;;;100;8;;1;1;150.00;150.00;0.64;139;1;85.00;6;1;9;mh2a1e2u;;;;;0
9;3oysdhhy;;0;434;900;voting;News;2022-08-17 22:28:04.182921+00:00;1;;;100;9;;-1;0;10.00;10.00;0.73;158;1;85.00;6;1;9;mh2a1e2u;;;;;0
10;8icqtqov;;0;434;900;voting;News;2022-08-17 22:28:09.625171+00:00;1;;;100;10;;-1;0;80.00;80.00;0.82;167;1;85.00;6;1;9;mh2a1e2u;;;;;0
11;fhbpl0ce;;0;434;900;voting;News;2022-08-17 22:28:15.278556+00:00;1;;;100;11;;-1;0;75.00;75.00;0.91;176;1;85.00;6;1;9;mh2a1e2u;;;;;0
1;r59q3wnw;;0;434;900;voting;News;2022-08-17 22:27:00.871988+00:00;1;;;100;1;;-1;0;80.00;80.00;0.00;85;1;85.00;6;0;10;mh2a1e2u;;;;;0
2;r3guj6fb;;0;434;900;voting;News;2022-08-17 22:27:12.461939+00:00;1;;;100;2;;1;1;95.00;95.00;0.09;115;1;85.00;6;0;10;mh2a1e2u;;;;;0
3;ko6cdw8l;;0;434;900;voting;News;2022-08-17 22:27:17.196166+00:00;1;;;100;3;;-1;0;75.00;75.00;0.18;85;1;85.00;6;0;10;mh2a1e2u;;;;;0
4;wptljjuw;;0;434;900;voting;News;2022-08-17 22:27:22.276545+00:00;1;;;100;4;;1;0;88.00;88.00;0.27;115;1;85.00;6;0;10;mh2a1e2u;;;;;0
5;r9jo3sxy;;0;434;900;voting;News;2022-08-17 22:27:31.715859+00:00;1;;;100;5;;1;0;92.00;92.00;0.36;115;1;85.00;6;0;10;mh2a1e2u;;;;;0
6;ik37tf3h;;0;434;900;voting;News;2022-08-17 22:27:39.578207+00:00;1;;;100;6;;0;1;85.00;85.00;0.45;100;1;85.00;6;0;10;mh2a1e2u;;;;;0
7;me75rpgj;;0;434;900;voting;News;2022-08-17 22:27:48.339048+00:00;1;;;100;7;;1;1;100.00;100.00;0.55;115;1;85.00;6;0;10;mh2a1e2u;;;;;0
8;sz0x8uel;;0;434;900;voting;News;2022-08-17 22:27:55.256529+00:00;1;;;100;8;;1;0;150.00;150.00;0.64;115;1;85.00;6;0;10;mh2a1e2u;;;;;0
9;3oysdhhy;;0;434;900;voting;News;2022-08-17 22:28:04.182921+00:00;1;;;100;9;;-1;0;1.00;1.00;0.73;85;1;85.00;6;0;10;mh2a1e2u;;;;;0
10;8icqtqov;;0;434;900;voting;News;2022-08-17 22:28:09.625171+00:00;1;;;100;10;;-1;0;80.00;80.00;0.82;85;1;85.00;6;0;10;mh2a1e2u;;;;;0
11;fhbpl0ce;;0;434;900;voting;News;2022-08-17 22:28:15.278556+00:00;1;;;100;11;;-1;0;80.00;80.00;0.91;85;1;85.00;6;0;10;mh2a1e2u;;;;;0
1;r59q3wnw;;0;434;900;voting;News;2022-08-17 22:27:00.871988+00:00;1;;;100;1;;1;0;90.00;90.00;0.00;70;1;90.00;6;1;11;mh2a1e2u;;;;;0
2;r3guj6fb;;0;434;900;voting;News;2022-08-17 22:27:12.461939+00:00;1;;;100;2;;1;0;93.00;93.00;0.09;79;1;90.00;6;1;11;mh2a1e2u;;;;;0
3;ko6cdw8l;;0;434;900;voting;News;2022-08-17 22:27:17.196166+00:00;1;;;100;3;;-1;0;75.00;75.00;0.18;108;1;90.00;6;1;11;mh2a1e2u;;;;;0
4;wptljjuw;;0;434;900;voting;News;2022-08-17 22:27:22.276545+00:00;1;;;100;4;;-1;0;84.00;84.00;0.27;117;1;90.00;6;1;11;mh2a1e2u;;;;;0
5;r9jo3sxy;;0;434;900;voting;News;2022-08-17 22:27:31.715859+00:00;1;;;100;5;;-1;0;85.00;85.00;0.36;126;1;90.00;6;1;11;mh2a1e2u;;;;;0
6;ik37tf3h;;0;434;900;voting;News;2022-08-17 22:27:39.578207+00:00;1;;;100;6;;-1;0;85.00;85.00;0.45;135;1;90.00;6;1;11;mh2a1e2u;;;;;0
7;me75rpgj;;0;434;900;voting;News;2022-08-17 22:27:48.339048+00:00;1;;;100;7;;1;1;100.00;100.00;0.55;125;1;90.00;6;1;11;mh2a1e2u;;;;;0
8;sz0x8uel;;0;434;900;voting;News;2022-08-17 22:27:55.256529+00:00;1;;;100;8;;1;1;200.00;200.00;0.64;134;1;90.00;6;1;11;mh2a1e2u;;;;;0
9;3oysdhhy;;0;434;900;voting;News;2022-08-17 22:28:04.182921+00:00;1;;;100;9;;-1;0;20.00;20.00;0.73;163;1;90.00;6;1;11;mh2a1e2u;;;;;0
10;8icqtqov;;0;434;900;voting;News;2022-08-17 22:28:09.625171+00:00;1;;;100;10;;1;1;100.00;100.00;0.82;152;1;90.00;6;1;11;mh2a1e2u;;;;;0
11;fhbpl0ce;;0;434;900;voting;News;2022-08-17 22:28:15.278556+00:00;1;;;100;11;;0;1;90.00;90.00;0.91;171;1;90.00;6;1;11;mh2a1e2u;;;;;0
1;r59q3wnw;;0;434;900;voting;News;2022-08-17 22:27:00.871988+00:00;1;;;100;1;;-1;0;60.00;60.00;0.00;90;1;90.00;7;1;12;mh2a1e2u;;;;;0
2;r3guj6fb;;0;434;900;voting;News;2022-08-17 22:27:12.461939+00:00;1;;;100;2;;1;1;110.00;110.00;0.09;79;1;90.00;7;1;12;mh2a1e2u;;;;;0
3;ko6cdw8l;;0;434;900;voting;News;2022-08-17 22:27:17.196166+00:00;1;;;100;3;;-1;0;80.00;80.00;0.18;108;1;90.00;7;1;12;mh2a1e2u;;;;;0
4;wptljjuw;;0;434;900;voting;News;2022-08-17 22:27:22.276545+00:00;1;;;100;4;;-1;0;86.00;86.00;0.27;117;1;90.00;7;1;12;mh2a1e2u;;;;;0
5;r9jo3sxy;;0;434;900;voting;News;2022-08-17 22:27:31.715859+00:00;1;;;100;5;;0;1;90.00;90.00;0.36;116;1;90.00;7;1;12;mh2a1e2u;;;;;0
6;ik37tf3h;;0;434;900;voting;News;2022-08-17 22:27:39.578207+00:00;1;;;100;6;;0;1;90.00;90.00;0.45;125;1;90.00;7;1;12;mh2a1e2u;;;;;0
7;me75rpgj;;0;434;900;voting;News;2022-08-17 22:27:48.339048+00:00;1;;;100;7;;1;1;100.00;100.00;0.55;125;1;90.00;7;1;12;mh2a1e2u;;;;;0
8;sz0x8uel;;0;434;900;voting;News;2022-08-17 22:27:55.256529+00:00;1;;;100;8;;1;1;150.00;150.00;0.64;134;1;90.00;7;1;12;mh2a1e2u;;;;;0
9;3oysdhhy;;0;434;900;voting;News;2022-08-17 22:28:04.182921+00:00;1;;;100;9;;-1;0;20.00;20.00;0.73;163;1;90.00;7;1;12;mh2a1e2u;;;;;0
10;8icqtqov;;0;434;900;voting;News;2022-08-17 22:28:09.625171+00:00;1;;;100;10;;1;1;100.00;100.00;0.82;152;1;90.00;7;1;12;mh2a1e2u;;;;;0
11;fhbpl0ce;;0;434;900;voting;News;2022-08-17 22:28:15.278556+00:00;1;;;100;11;;0;1;90.00;90.00;0.91;171;1;90.00;7;1;12;mh2a1e2u;;;;;0
1;r59q3wnw;;0;434;900;voting;News;2022-08-17 22:27:00.871988+00:00;1;;;100;1;;-1;0;75.00;75.00;0.00;90;1;90.00;7;0;13;mh2a1e2u;;;;;0
2;r3guj6fb;;0;434;900;voting;News;2022-08-17 22:27:12.461939+00:00;1;;;100;2;;1;0;100.00;100.00;0.09;110;1;90.00;7;0;13;mh2a1e2u;;;;;0
3;ko6cdw8l;;0;434;900;voting;News;2022-08-17 22:27:17.196166+00:00;1;;;100;3;;-1;0;55.00;55.00;0.18;90;1;90.00;7;0;13;mh2a1e2u;;;;;0
4;wptljjuw;;0;434;900;voting;News;2022-08-17 22:27:22.276545+00:00;1;;;100;4;;-1;0;89.00;89.00;0.27;90;1;90.00;7;0;13;mh2a1e2u;;;;;0
5;r9jo3sxy;;0;434;900;voting;News;2022-08-17 22:27:31.715859+00:00;1;;;100;5;;0;0;90.00;90.00;0.36;100;1;90.00;7;0;13;mh2a1e2u;;;;;0
6;ik37tf3h;;0;434;900;voting;News;2022-08-17 22:27:39.578207+00:00;1;;;100;6;;0;0;90.00;90.00;0.45;100;1;90.00;7;0;13;mh2a1e2u;;;;;0
7;me75rpgj;;0;434;900;voting;News;2022-08-17 22:27:48.339048+00:00;1;;;100;7;;1;0;102.00;102.00;0.55;110;1;90.00;7;0;13;mh2a1e2u;;;;;0
8;sz0x8uel;;0;434;900;voting;News;2022-08-17 22:27:55.256529+00:00;1;;;100;8;;1;0;200.00;200.00;0.64;110;1;90.00;7;0;13;mh2a1e2u;;;;;0
