participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.t,player.vote,player.bid,player.ask,player.lama,player.why_accept,player.other_accept,player.why_reject,player.other_reject,player.age,player.gender,player.major,player.political,player.gpa,player.payoff,group.id_in_subsession,group.price,group.q,group.policy,group.costo,group.uniforme,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
11,5vaz41yo,,0,479,1000,voting,Survey,2022-09-09 22:26:13.653469+00:00,1,,,148,11,,0,1,85.00,85.00,0.91,,,,,,,,,,100,1,85.00,6,0,60,1,9,dgqok9ca,,,,,0
1,b3thk85v,,0,479,1000,voting,Survey,2022-09-09 22:26:05.968843+00:00,1,,,103,1,,1,0,100.00,100.00,0.00,,,,,,,,,,112,1,88.50,5,0,60,1,10,dgqok9ca,,,,,0
2,8f4qdukq,,0,479,1000,voting,Survey,2022-09-09 22:26:35.069114+00:00,1,,,66,2,,-1,0,65.00,65.00,0.09,,,,,,,,,,88,1,88.50,5,0,60,1,10,dgqok9ca,,,,,0
3,lip6wecw,,0,479,1000,voting,Survey,2022-09-09 22:26:04.572530+00:00,1,,,98,3,,1,0,100.00,100.00,0.18,,,,,,,,,,112,1,88.50,5,0,60,1,10,dgqok9ca,,,,,0
4,nmglt214,,0,479,1000,voting,Survey,2022-09-09 22:26:05.344885+00:00,1,,,84,4,,-1,0,80.00,80.00,0.27,,,,,,,,,,88,1,88.50,5,0,60,1,10,dgqok9ca,,,,,0
5,7o35bquw,,0,479,1000,voting,Survey,2022-09-09 22:26:10.062216+00:00,1,,,139,5,,0,0,0.00,0.00,0.36,,,,,,,,,,100,1,88.50,5,0,60,1,10,dgqok9ca,,,,,0
6,5h9lcz0l,,0,479,1000,voting,Survey,2022-09-09 22:26:00.015623+00:00,1,,,102,6,,1,1,180.00,180.00,0.45,,,,,,,,,,112,1,88.50,5,0,60,1,10,dgqok9ca,,,,,0
7,u01fgzgs,,0,479,1000,voting,Survey,2022-09-09 22:26:02.661180+00:00,1,,,158,7,,1,0,95.00,95.00,0.55,,,,,,,,,,112,1,88.50,5,0,60,1,10,dgqok9ca,,,,,0
8,x9op5bm3,,0,479,1000,voting,Survey,2022-09-09 22:26:09.894121+00:00,1,,,121,8,,-1,0,87.00,87.00,0.64,,,,,,,,,,88,1,88.50,5,0,60,1,10,dgqok9ca,,,,,0
9,olpl4te6,,0,479,1000,voting,Survey,2022-09-09 22:26:30.824926+00:00,1,,,176,9,,-1,0,80.00,80.00,0.73,,,,,,,,,,88,1,88.50,5,0,60,1,10,dgqok9ca,,,,,0
10,zdqm5mqn,,0,479,1000,voting,Survey,2022-09-09 22:26:06.112592+00:00,1,,,185,10,,1,0,90.00,90.00,0.82,,,,,,,,,,112,1,88.50,5,0,60,1,10,dgqok9ca,,,,,0
11,5vaz41yo,,0,479,1000,voting,Survey,2022-09-09 22:26:13.653469+00:00,1,,,148,11,,-1,0,85.00,85.00,0.91,,,,,,,,,,88,1,88.50,5,0,60,1,10,dgqok9ca,,,,,0
1,b3thk85v,,0,479,1000,voting,Survey,2022-09-09 22:26:05.968843+00:00,1,,,103,1,,1,0,99.00,99.00,0.00,,,,,,,,,,106,1,94.00,6,0,60,1,11,dgqok9ca,,,,,0
2,8f4qdukq,,0,479,1000,voting,Survey,2022-09-09 22:26:35.069114+00:00,1,,,66,2,,1,0,200.00,200.00,0.09,,,,,,,,,,106,1,94.00,6,0,60,1,11,dgqok9ca,,,,,0
3,lip6wecw,,0,479,1000,voting,Survey,2022-09-09 22:26:04.572530+00:00,1,,,98,3,,1,0,100.00,100.00,0.18,,,,,,,,,,106,1,94.00,6,0,60,1,11,dgqok9ca,,,,,0
4,nmglt214,,0,479,1000,voting,Survey,2022-09-09 22:26:05.344885+00:00,1,,,84,4,,-1,0,90.00,90.00,0.27,,,,,,,,,,94,1,94.00,6,0,60,1,11,dgqok9ca,,,,,0
5,7o35bquw,,0,479,1000,voting,Survey,2022-09-09 22:26:10.062216+00:00,1,,,139,5,,1,0,100.00,100.00,0.36,,,,,,,,,,106,1,94.00,6,0,60,1,11,dgqok9ca,,,,,0
6,5h9lcz0l,,0,479,1000,voting,Survey,2022-09-09 22:26:00.015623+00:00,1,,,102,6,,-1,0,5.25,5.25,0.45,,,,,,,,,,94,1,94.00,6,0,60,1,11,dgqok9ca,,,,,0
7,u01fgzgs,,0,479,1000,voting,Survey,2022-09-09 22:26:02.661180+00:00,1,,,158,7,,1,0,95.00,95.00,0.55,,,,,,,,,,106,1,94.00,6,0,60,1,11,dgqok9ca,,,,,0
8,x9op5bm3,,0,479,1000,voting,Survey,2022-09-09 22:26:09.894121+00:00,1,,,121,8,,-1,0,90.00,90.00,0.64,,,,,,,,,,94,1,94.00,6,0,60,1,11,dgqok9ca,,,,,0
9,olpl4te6,,0,479,1000,voting,Survey,2022-09-09 22:26:30.824926+00:00,1,,,176,9,,-1,0,90.00,90.00,0.73,,,,,,,,,,94,1,94.00,6,0,60,1,11,dgqok9ca,,,,,0
10,zdqm5mqn,,0,479,1000,voting,Survey,2022-09-09 22:26:06.112592+00:00,1,,,185,10,,0,1,94.00,94.00,0.82,,,,,,,,,,100,1,94.00,6,0,60,1,11,dgqok9ca,,,,,0
