participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.question_id,player.question,player.solution,player.submitted_answer,player.is_correct,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
3,5bol72zt,,0,19,18,quiz,Results,2022-09-21 22:03:42.486236+00:00,1,,,0,3,,3,If you sell an asset then ,Your cash holdings will increase by the market price,Your cash holdings will increase by your submitted price,0,0,1,3,t8k6mo7e,,,,,0
4,qu2j46bb,,0,19,18,quiz,Results,2022-09-21 22:03:45.676037+00:00,1,,,0,4,,3,If you sell an asset then ,Your cash holdings will increase by the market price,Your cash holdings will decrease by the market price,0,0,1,3,t8k6mo7e,,,,,0
5,kw1kw6eh,,0,19,18,quiz,Results,2022-09-21 22:04:05.300198+00:00,1,,,0,5,,3,If you sell an asset then ,Your cash holdings will increase by the market price,Your cash holdings will increase by your submitted price,0,0,1,3,t8k6mo7e,,,,,0
6,usurj1xv,,0,19,18,quiz,Results,2022-09-21 22:03:39.513397+00:00,1,,,0,6,,3,If you sell an asset then ,Your cash holdings will increase by the market price,Your cash holdings will increase by the market price,1,0,1,3,t8k6mo7e,,,,,0
7,dmk9oe07,,0,19,18,quiz,Results,2022-09-21 22:03:58.597197+00:00,1,,,0,7,,3,If you sell an asset then ,Your cash holdings will increase by the market price,Your cash holdings will increase by the market price,1,0,1,3,t8k6mo7e,,,,,0
8,yqob26vh,,0,19,18,quiz,Results,2022-09-21 22:03:58.752760+00:00,1,,,0,8,,3,If you sell an asset then ,Your cash holdings will increase by the market price,Your cash holdings will increase by the market price,1,0,1,3,t8k6mo7e,,,,,0
9,hrdqe8vw,,0,19,18,quiz,Results,2022-09-21 22:03:53.673395+00:00,1,,,0,9,,3,If you sell an asset then ,Your cash holdings will increase by the market price,Your cash holdings will increase by the market price,1,0,1,3,t8k6mo7e,,,,,0
10,9u6e5afl,,0,19,18,quiz,Results,2022-09-21 22:03:44.649961+00:00,1,,,0,10,,3,If you sell an asset then ,Your cash holdings will increase by the market price,Your cash holdings will increase by the market price,1,0,1,3,t8k6mo7e,,,,,0
11,yitv7vbu,,0,19,18,quiz,Results,2022-09-21 22:03:47.562456+00:00,1,,,0,11,,3,If you sell an asset then ,Your cash holdings will increase by the market price,Your cash holdings will increase by the market price,1,0,1,3,t8k6mo7e,,,,,0
1,a37a6d1e,,0,19,18,quiz,Results,2022-09-21 22:03:48.746142+00:00,1,,,0,1,,4,If a majority vote to approve the proposal then what is the net payoff for those who hold one share:,100 - C + w_i*100,100 - C + w_i*100,1,0,1,4,t8k6mo7e,,,,,0
2,z72im4o2,,0,18,18,quiz,Results,2022-09-21 22:03:43.202839+00:00,1,,,0,2,,4,If a majority vote to approve the proposal then what is the net payoff for those who hold one share:,100 - C + w_i*100,100 - C + w_i*100,1,0,1,4,t8k6mo7e,,,,,0
3,5bol72zt,,0,19,18,quiz,Results,2022-09-21 22:03:42.486236+00:00,1,,,0,3,,4,If a majority vote to approve the proposal then what is the net payoff for those who hold one share:,100 - C + w_i*100,100,0,0,1,4,t8k6mo7e,,,,,0
4,qu2j46bb,,0,19,18,quiz,Results,2022-09-21 22:03:45.676037+00:00,1,,,0,4,,4,If a majority vote to approve the proposal then what is the net payoff for those who hold one share:,100 - C + w_i*100,100 - C + w_i*100,1,0,1,4,t8k6mo7e,,,,,0
5,kw1kw6eh,,0,19,18,quiz,Results,2022-09-21 22:04:05.300198+00:00,1,,,0,5,,4,If a majority vote to approve the proposal then what is the net payoff for those who hold one share:,100 - C + w_i*100,2*(100 - C),0,0,1,4,t8k6mo7e,,,,,0
6,usurj1xv,,0,19,18,quiz,Results,2022-09-21 22:03:39.513397+00:00,1,,,0,6,,4,If a majority vote to approve the proposal then what is the net payoff for those who hold one share:,100 - C + w_i*100,100 - C + w_i*100,1,0,1,4,t8k6mo7e,,,,,0
7,dmk9oe07,,0,19,18,quiz,Results,2022-09-21 22:03:58.597197+00:00,1,,,0,7,,4,If a majority vote to approve the proposal then what is the net payoff for those who hold one share:,100 - C + w_i*100,100 - C + w_i*100,1,0,1,4,t8k6mo7e,,,,,0
8,yqob26vh,,0,19,18,quiz,Results,2022-09-21 22:03:58.752760+00:00,1,,,0,8,,4,If a majority vote to approve the proposal then what is the net payoff for those who hold one share:,100 - C + w_i*100,100 - C + w_i*100,1,0,1,4,t8k6mo7e,,,,,0
9,hrdqe8vw,,0,19,18,quiz,Results,2022-09-21 22:03:53.673395+00:00,1,,,0,9,,4,If a majority vote to approve the proposal then what is the net payoff for those who hold one share:,100 - C + w_i*100,100 - C + w_i*100,1,0,1,4,t8k6mo7e,,,,,0
10,9u6e5afl,,0,19,18,quiz,Results,2022-09-21 22:03:44.649961+00:00,1,,,0,10,,4,If a majority vote to approve the proposal then what is the net payoff for those who hold one share:,100 - C + w_i*100,100 - C + w_i*100,1,0,1,4,t8k6mo7e,,,,,0
11,yitv7vbu,,0,19,18,quiz,Results,2022-09-21 22:03:47.562456+00:00,1,,,0,11,,4,If a majority vote to approve the proposal then what is the net payoff for those who hold one share:,100 - C + w_i*100,100 - C + w_i*100,1,0,1,4,t8k6mo7e,,,,,0
1,a37a6d1e,,0,19,18,quiz,Results,2022-09-21 22:03:48.746142+00:00,1,,,0,1,,5,If a majority vote to reject the proposal then what is the share payout for those that hold two shares,200,200,1,0,1,5,t8k6mo7e,,,,,0
2,z72im4o2,,0,18,18,quiz,Results,2022-09-21 22:03:43.202839+00:00,1,,,0,2,,5,If a majority vote to reject the proposal then what is the share payout for those that hold two shares,200,200,1,0,1,5,t8k6mo7e,,,,,0
3,5bol72zt,,0,19,18,quiz,Results,2022-09-21 22:03:42.486236+00:00,1,,,0,3,,5,If a majority vote to reject the proposal then what is the share payout for those that hold two shares,200,2*(100 - C),0,0,1,5,t8k6mo7e,,,,,0
4,qu2j46bb,,0,19,18,quiz,Results,2022-09-21 22:03:45.676037+00:00,1,,,0,4,,5,If a majority vote to reject the proposal then what is the share payout for those that hold two shares,200,200,1,0,1,5,t8k6mo7e,,,,,0
5,kw1kw6eh,,0,19,18,quiz,Results,2022-09-21 22:04:05.300198+00:00,1,,,0,5,,5,If a majority vote to reject the proposal then what is the share payout for those that hold two shares,200,2*(100 - C),0,0,1,5,t8k6mo7e,,,,,0
6,usurj1xv,,0,19,18,quiz,Results,2022-09-21 22:03:39.513397+00:00,1,,,0,6,,5,If a majority vote to reject the proposal then what is the share payout for those that hold two shares,200,200,1,0,1,5,t8k6mo7e,,,,,0
7,dmk9oe07,,0,19,18,quiz,Results,2022-09-21 22:03:58.597197+00:00,1,,,0,7,,5,If a majority vote to reject the proposal then what is the share payout for those that hold two shares,200,200,1,0,1,5,t8k6mo7e,,,,,0
8,yqob26vh,,0,19,18,quiz,Results,2022-09-21 22:03:58.752760+00:00,1,,,0,8,,5,If a majority vote to reject the proposal then what is the share payout for those that hold two shares,200,200,1,0,1,5,t8k6mo7e,,,,,0
9,hrdqe8vw,,0,19,18,quiz,Results,2022-09-21 22:03:53.673395+00:00,1,,,0,9,,5,If a majority vote to reject the proposal then what is the share payout for those that hold two shares,200,200,1,0,1,5,t8k6mo7e,,,,,0
10,9u6e5afl,,0,19,18,quiz,Results,2022-09-21 22:03:44.649961+00:00,1,,,0,10,,5,If a majority vote to reject the proposal then what is the share payout for those that hold two shares,200,200,1,0,1,5,t8k6mo7e,,,,,0
11,yitv7vbu,,0,19,18,quiz,Results,2022-09-21 22:03:47.562456+00:00,1,,,0,11,,5,If a majority vote to reject the proposal then what is the share payout for those that hold two shares,200,200,1,0,1,5,t8k6mo7e,,,,,0
1,a37a6d1e,,0,19,18,quiz,Results,2022-09-21 22:03:48.746142+00:00,1,,,0,1,,6,The personal benefit from the policy is,proportional to w_i,proportional to w_i,1,0,1,6,t8k6mo7e,,,,,0
2,z72im4o2,,0,18,18,quiz,Results,2022-09-21 22:03:43.202839+00:00,1,,,0,2,,6,The personal benefit from the policy is,proportional to w_i,proportional to w_i,1,0,1,6,t8k6mo7e,,,,,0
3,5bol72zt,,0,19,18,quiz,Results,2022-09-21 22:03:42.486236+00:00,1,,,0,3,,6,The personal benefit from the policy is,proportional to w_i,zero for those who do not hold any shares,0,0,1,6,t8k6mo7e,,,,,0
4,qu2j46bb,,0,19,18,quiz,Results,2022-09-21 22:03:45.676037+00:00,1,,,0,4,,6,The personal benefit from the policy is,proportional to w_i,the same for all market participants,0,0,1,6,t8k6mo7e,,,,,0
5,kw1kw6eh,,0,19,18,quiz,Results,2022-09-21 22:04:05.300198+00:00,1,,,0,5,,6,The personal benefit from the policy is,proportional to w_i,proportional to w_i,1,0,1,6,t8k6mo7e,,,,,0
6,usurj1xv,,0,19,18,quiz,Results,2022-09-21 22:03:39.513397+00:00,1,,,0,6,,6,The personal benefit from the policy is,proportional to w_i,proportional to w_i,1,0,1,6,t8k6mo7e,,,,,0
7,dmk9oe07,,0,19,18,quiz,Results,2022-09-21 22:03:58.597197+00:00,1,,,0,7,,6,The personal benefit from the policy is,proportional to w_i,proportional to w_i,1,0,1,6,t8k6mo7e,,,,,0
8,yqob26vh,,0,19,18,quiz,Results,2022-09-21 22:03:58.752760+00:00,1,,,0,8,,6,The personal benefit from the policy is,proportional to w_i,proportional to w_i,1,0,1,6,t8k6mo7e,,,,,0
9,hrdqe8vw,,0,19,18,quiz,Results,2022-09-21 22:03:53.673395+00:00,1,,,0,9,,6,The personal benefit from the policy is,proportional to w_i,proportional to w_i,1,0,1,6,t8k6mo7e,,,,,0
10,9u6e5afl,,0,19,18,quiz,Results,2022-09-21 22:03:44.649961+00:00,1,,,0,10,,6,The personal benefit from the policy is,proportional to w_i,proportional to w_i,1,0,1,6,t8k6mo7e,,,,,0
11,yitv7vbu,,0,19,18,quiz,Results,2022-09-21 22:03:47.562456+00:00,1,,,0,11,,6,The personal benefit from the policy is,proportional to w_i,proportional to w_i,1,0,1,6,t8k6mo7e,,,,,0
1,2sz2k63t,,0,19,18,quiz,Results,2022-09-23 22:06:16.368641+00:00,1,,,0,1,,1,If you submit a price of 70 and the market clearing price is 60 you will:,Buy a share,Buy a share,1,0,1,1,jsn3yq2p,,,,,0
2,7bhv6q7i,,0,19,18,quiz,Results,2022-09-23 22:06:16.689191+00:00,1,,,0,2,,1,If you submit a price of 70 and the market clearing price is 60 you will:,Buy a share,Buy a share,1,0,1,1,jsn3yq2p,,,,,0
3,x138b2zo,,0,19,18,quiz,Results,2022-09-23 22:06:30.090663+00:00,1,,,0,3,,1,If you submit a price of 70 and the market clearing price is 60 you will:,Buy a share,Buy a share,1,0,1,1,jsn3yq2p,,,,,0
4,ufdmb3u0,,0,19,18,quiz,Results,2022-09-23 22:06:13.112986+00:00,1,,,0,4,,1,If you submit a price of 70 and the market clearing price is 60 you will:,Buy a share,Buy a share,1,0,1,1,jsn3yq2p,,,,,0
5,922an2zu,,0,19,18,quiz,Results,2022-09-23 22:06:16.235050+00:00,1,,,0,5,,1,If you submit a price of 70 and the market clearing price is 60 you will:,Buy a share,Buy a share,1,0,1,1,jsn3yq2p,,,,,0
6,a4f9uwsd,,0,19,18,quiz,Results,2022-09-23 22:06:14.715754+00:00,1,,,0,6,,1,If you submit a price of 70 and the market clearing price is 60 you will:,Buy a share,Buy a share,1,0,1,1,jsn3yq2p,,,,,0
7,3pvt6icn,,0,19,18,quiz,Results,2022-09-23 22:06:28.158525+00:00,1,,,0,7,,1,If you submit a price of 70 and the market clearing price is 60 you will:,Buy a share,Buy a share,1,0,1,1,jsn3yq2p,,,,,0
8,ul8flitr,,0,19,18,quiz,Results,2022-09-23 22:06:15.226487+00:00,1,,,0,8,,1,If you submit a price of 70 and the market clearing price is 60 you will:,Buy a share,Sell a share,0,0,1,1,jsn3yq2p,,,,,0
9,1946szqz,,0,19,18,quiz,Results,2022-09-23 22:07:02.424477+00:00,1,,,0,9,,1,If you submit a price of 70 and the market clearing price is 60 you will:,Buy a share,Buy a share,1,0,1,1,jsn3yq2p,,,,,0
10,4vkd2hw7,,0,19,18,quiz,Results,2022-09-23 22:06:13.714635+00:00,1,,,0,10,,1,If you submit a price of 70 and the market clearing price is 60 you will:,Buy a share,Buy a share,1,0,1,1,jsn3yq2p,,,,,0
11,wffiysax,,0,19,18,quiz,Results,2022-09-23 22:06:19.971065+00:00,1,,,0,11,,1,If you submit a price of 70 and the market clearing price is 60 you will:,Buy a share,Buy a share,1,0,1,1,jsn3yq2p,,,,,0
1,2sz2k63t,,0,19,18,quiz,Results,2022-09-23 22:06:16.368641+00:00,1,,,0,1,,2,You hold 2 shares. Your weight w_i is 0.7. 100 is the benefit amount from the policy and C is the cost of the policy. What is your net benefit if the policy is approved:,0.7*100 - 2*C,0.7*100 - 2*C,1,0,1,2,jsn3yq2p,,,,,0
2,7bhv6q7i,,0,19,18,quiz,Results,2022-09-23 22:06:16.689191+00:00,1,,,0,2,,2,You hold 2 shares. Your weight w_i is 0.7. 100 is the benefit amount from the policy and C is the cost of the policy. What is your net benefit if the policy is approved:,0.7*100 - 2*C,0.7*100 - 2*C,1,0,1,2,jsn3yq2p,,,,,0
3,x138b2zo,,0,19,18,quiz,Results,2022-09-23 22:06:30.090663+00:00,1,,,0,3,,2,You hold 2 shares. Your weight w_i is 0.7. 100 is the benefit amount from the policy and C is the cost of the policy. What is your net benefit if the policy is approved:,0.7*100 - 2*C,0.7*100 - 2*C,1,0,1,2,jsn3yq2p,,,,,0
4,ufdmb3u0,,0,19,18,quiz,Results,2022-09-23 22:06:13.112986+00:00,1,,,0,4,,2,You hold 2 shares. Your weight w_i is 0.7. 100 is the benefit amount from the policy and C is the cost of the policy. What is your net benefit if the policy is approved:,0.7*100 - 2*C,2*100 - 0.7*C,0,0,1,2,jsn3yq2p,,,,,0
5,922an2zu,,0,19,18,quiz,Results,2022-09-23 22:06:16.235050+00:00,1,,,0,5,,2,You hold 2 shares. Your weight w_i is 0.7. 100 is the benefit amount from the policy and C is the cost of the policy. What is your net benefit if the policy is approved:,0.7*100 - 2*C,0.7*100 - 2*C,1,0,1,2,jsn3yq2p,,,,,0
6,a4f9uwsd,,0,19,18,quiz,Results,2022-09-23 22:06:14.715754+00:00,1,,,0,6,,2,You hold 2 shares. Your weight w_i is 0.7. 100 is the benefit amount from the policy and C is the cost of the policy. What is your net benefit if the policy is approved:,0.7*100 - 2*C,0.7*100 - 2*C,1,0,1,2,jsn3yq2p,,,,,0
7,3pvt6icn,,0,19,18,quiz,Results,2022-09-23 22:06:28.158525+00:00,1,,,0,7,,2,You hold 2 shares. Your weight w_i is 0.7. 100 is the benefit amount from the policy and C is the cost of the policy. What is your net benefit if the policy is approved:,0.7*100 - 2*C,0.7*100 - 2*C,1,0,1,2,jsn3yq2p,,,,,0
8,ul8flitr,,0,19,18,quiz,Results,2022-09-23 22:06:15.226487+00:00,1,,,0,8,,2,You hold 2 shares. Your weight w_i is 0.7. 100 is the benefit amount from the policy and C is the cost of the policy. What is your net benefit if the policy is approved:,0.7*100 - 2*C,2*100 - 0.7*C,0,0,1,2,jsn3yq2p,,,,,0
9,1946szqz,,0,19,18,quiz,Results,2022-09-23 22:07:02.424477+00:00,1,,,0,9,,2,You hold 2 shares. Your weight w_i is 0.7. 100 is the benefit amount from the policy and C is the cost of the policy. What is your net benefit if the policy is approved:,0.7*100 - 2*C,0.7*100 - 2*C,1,0,1,2,jsn3yq2p,,,,,0
10,4vkd2hw7,,0,19,18,quiz,Results,2022-09-23 22:06:13.714635+00:00,1,,,0,10,,2,You hold 2 shares. Your weight w_i is 0.7. 100 is the benefit amount from the policy and C is the cost of the policy. What is your net benefit if the policy is approved:,0.7*100 - 2*C,0.7*100 - 2*C,1,0,1,2,jsn3yq2p,,,,,0
11,wffiysax,,0,19,18,quiz,Results,2022-09-23 22:06:19.971065+00:00,1,,,0,11,,2,You hold 2 shares. Your weight w_i is 0.7. 100 is the benefit amount from the policy and C is the cost of the policy. What is your net benefit if the policy is approved:,0.7*100 - 2*C,2*100 - 0.7*C,0,0,1,2,jsn3yq2p,,,,,0
1,2sz2k63t,,0,19,18,quiz,Results,2022-09-23 22:06:16.368641+00:00,1,,,0,1,,3,If you sell an asset then ,Your cash holdings will increase by the market price,Your cash holdings will increase by your submitted price,0,0,1,3,jsn3yq2p,,,,,0
2,7bhv6q7i,,0,19,18,quiz,Results,2022-09-23 22:06:16.689191+00:00,1,,,0,2,,3,If you sell an asset then ,Your cash holdings will increase by the market price,Your cash holdings will increase by the market price,1,0,1,3,jsn3yq2p,,,,,0
3,x138b2zo,,0,19,18,quiz,Results,2022-09-23 22:06:30.090663+00:00,1,,,0,3,,3,If you sell an asset then ,Your cash holdings will increase by the market price,Your cash holdings will increase by the market price,1,0,1,3,jsn3yq2p,,,,,0
4,ufdmb3u0,,0,19,18,quiz,Results,2022-09-23 22:06:13.112986+00:00,1,,,0,4,,3,If you sell an asset then ,Your cash holdings will increase by the market price,Your cash holdings will increase by the market price,1,0,1,3,jsn3yq2p,,,,,0
5,922an2zu,,0,19,18,quiz,Results,2022-09-23 22:06:16.235050+00:00,1,,,0,5,,3,If you sell an asset then ,Your cash holdings will increase by the market price,Your cash holdings will increase by the market price,1,0,1,3,jsn3yq2p,,,,,0
6,a4f9uwsd,,0,19,18,quiz,Results,2022-09-23 22:06:14.715754+00:00,1,,,0,6,,3,If you sell an asset then ,Your cash holdings will increase by the market price,Your cash holdings will increase by the market price,1,0,1,3,jsn3yq2p,,,,,0
7,3pvt6icn,,0,19,18,quiz,Results,2022-09-23 22:06:28.158525+00:00,1,,,0,7,,3,If you sell an asset then ,Your cash holdings will increase by the market price,Your cash holdings will increase by the market price,1,0,1,3,jsn3yq2p,,,,,0
8,ul8flitr,,0,19,18,quiz,Results,2022-09-23 22:06:15.226487+00:00,1,,,0,8,,3,If you sell an asset then ,Your cash holdings will increase by the market price,Your cash holdings will increase by the market price,1,0,1,3,jsn3yq2p,,,,,0
9,1946szqz,,0,19,18,quiz,Results,2022-09-23 22:07:02.424477+00:00,1,,,0,9,,3,If you sell an asset then ,Your cash holdings will increase by the market price,Your cash holdings will increase by the market price,1,0,1,3,jsn3yq2p,,,,,0
10,4vkd2hw7,,0,19,18,quiz,Results,2022-09-23 22:06:13.714635+00:00,1,,,0,10,,3,If you sell an asset then ,Your cash holdings will increase by the market price,Your cash holdings will increase by the market price,1,0,1,3,jsn3yq2p,,,,,0
11,wffiysax,,0,19,18,quiz,Results,2022-09-23 22:06:19.971065+00:00,1,,,0,11,,3,If you sell an asset then ,Your cash holdings will increase by the market price,Your cash holdings will increase by the market price,1,0,1,3,jsn3yq2p,,,,,0
1,2sz2k63t,,0,19,18,quiz,Results,2022-09-23 22:06:16.368641+00:00,1,,,0,1,,4,If a majority vote to approve the proposal then what is the net payoff for those who hold one share:,100 - C + w_i*100,100 - C + w_i*100,1,0,1,4,jsn3yq2p,,,,,0
2,7bhv6q7i,,0,19,18,quiz,Results,2022-09-23 22:06:16.689191+00:00,1,,,0,2,,4,If a majority vote to approve the proposal then what is the net payoff for those who hold one share:,100 - C + w_i*100,100 - C + w_i*100,1,0,1,4,jsn3yq2p,,,,,0
3,x138b2zo,,0,19,18,quiz,Results,2022-09-23 22:06:30.090663+00:00,1,,,0,3,,4,If a majority vote to approve the proposal then what is the net payoff for those who hold one share:,100 - C + w_i*100,100 - C + w_i*100,1,0,1,4,jsn3yq2p,,,,,0
